Q,I
0.50267,0.24545226951694238
0.50767,0.2510715260735372
0.51267,0.25363513730206627
0.51767,0.25969394022830355
0.52267,0.2644985626612735
0.52768,0.26711987969810747
0.53268,0.2742698749037294
0.53768,0.2794231877528402
0.54268,0.28739242126892006
0.54768,0.29075624016899776
0.55268,0.29599365616425527
0.55768,0.3042176546850859
0.56269,0.31493528079458627
0.56769,0.317745369491567
0.57269,0.3243262872046491
0.57769,0.337210950583476
0.58269,0.3451034476523417
0.58769,0.3577993393710218
0.5927,0.36427743024483705
0.5977,0.37598618430655484
0.6027,0.3823878456789448
0.6077,0.39745090332128585
0.6127,0.41075700326821263
0.6177,0.41792541522116594
0.62271,0.433567986512868
0.62771,0.4444412341373185
0.63271,0.4531606431613635
0.63771,0.467711715227892
0.64271,0.482522463431793
0.64772,0.4973258449367615
0.65272,0.5081496742892062
0.65772,0.5272346426029332
0.66272,0.5383427037558589
0.66772,0.5537120932954788
0.67272,0.5682355402410102
0.67773,0.5828882113636501
0.68273,0.5958189166108054
0.68773,0.6099316700908469
0.69273,0.625766696392162
0.69773,0.6377707323027597
0.70273,0.6503671735858504
0.70774,0.6590687797541416
0.71274,0.6716864002966634
0.71774,0.6811768571423157
0.72274,0.6896325997337329
0.72774,0.6965394938745806
0.73274,0.707203404471031
0.73774,0.7086976165711842
0.74275,0.7146833663996738
0.74775,0.7179446654062734
0.75275,0.7176490766116047
0.75775,0.7181361995785199
0.76275,0.7227683184781525
0.76775,0.7259801992127463
0.77276,0.729130076897991
0.77776,0.7308808956776282
0.78276,0.7435123287806484
0.78776,0.7755906192824575
0.79276,0.8484193396586366
0.79776,0.998739900835302
0.80277,1.2364457794788744
0.80777,1.4702549813329142
0.81277,1.577093602060176
0.81777,1.5963786990282374
0.82277,1.5911851762807863
0.82777,1.547685432975629
0.83278,1.425059362544325
0.83778,1.1755741323075979
0.84278,0.9123586030437443
0.84778,0.7408382170681311
0.85278,0.6501581435036391
0.85778,0.6035346129052898
0.86279,0.5765549989021751
0.86779,0.559860831337851
0.87279,0.5469942777605666
0.87779,0.5343474973681035
0.88279,0.5271456283241648
0.88779,0.518815119614601
0.8928,0.5108228651643569
0.8978,0.508862402410931
0.9028,0.5046563242662311
0.9078,0.5014143628443293
0.9128,0.4999207646357539
0.9178,0.4993185369980176
0.92281,0.5008968522443173
0.92781,0.5078820175613233
0.93281,0.5264362766061176
0.93781,0.5354033908817697
0.94281,0.535578043035629
0.94781,0.5362223222464386
0.95282,0.5377917360648616
0.95782,0.5348036188103442
0.96282,0.5265378756622291
0.96782,0.5186217437676215
0.97282,0.5046369866815331
0.97782,0.4959037650969896
0.98283,0.4944577434856869
0.98783,0.49210745958041313
0.99283,0.4935801854753463
0.99783,0.4939350148072644
1.00283,0.49558362063921235
1.00783,0.49555169827717127
1.01284,0.4997022192340881
1.01784,0.5000631874817832
1.02284,0.505396370563164
1.02784,0.5070529569856221
1.03284,0.5104410246030195
1.03784,0.5133634554587218
1.04285,0.5138643909861355
1.04785,0.5177214717689055
1.05285,0.5216850627404087
1.05785,0.5246219200481872
1.06285,0.5257352124243695
1.06785,0.5337164168262146
1.07286,0.5335700036849301
1.07786,0.5389608925746159
1.08286,0.542944128076606
1.08786,0.5454549446294515
1.09286,0.5506975787031196
1.09786,0.5551047063395204
1.10287,0.5614093728426317
1.10787,0.5686140043986702
1.11287,0.573213280098895
1.11787,0.5774107637615069
1.12287,0.5818633193746585
