# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32019.999999999993
  11 0.525 1614.22 252.584
  12 0.575 1613.32 256.127
  13 0.625 1600.46 258.989
  14 0.675 1647.93 279.551
  15 0.725 1650.15 291.523
  16 0.775 1585.21 296.669
  17 0.825 1615.53 311.867
  18 0.875 1660.21 314.763
  19 0.925 1537.45 329.775
  20 0.975 1560.94 337.755
31000 20 32020.000000000004
  1 0.025 1616.11 347.447
  2 0.075 1569.17 343.422
  3 0.125 1543.89 330.893
  4 0.175 1606.94 321.937
  5 0.225 1641.59 315.463
  6 0.275 1562.48 299.679
  7 0.325 1571.46 284.56
  8 0.375 1628.79 277.031
  9 0.425 1568.99 265.977
  10 0.475 1599.79 257.629
  11 0.525 1622.54 252.281
  12 0.575 1630.45 255.92
  13 0.625 1567.04 262.417
  14 0.675 1652.42 277.935
  15 0.725 1637.34 291.372
  16 0.775 1606.07 298.411
  17 0.825 1622.21 311.834
  18 0.875 1669.32 316.243
  19 0.925 1540.4 328.329
  20 0.975 1563 336.988
32000 20 32020.000000000004
  1 0.025 1610.53 349.938
  2 0.075 1564.79 345.187
  3 0.125 1540.02 333.504
  4 0.175 1616.94 318.906
  5 0.225 1637.93 317.155
  6 0.275 1578.81 302.718
  7 0.325 1560.21 285.132
  8 0.375 1642.01 277.17
  9 0.425 1577.84 268.637
  10 0.475 1612.41 258.592
  11 0.525 1633.96 250.683
  12 0.575 1617.48 252.895
  13 0.625 1564.79 261.548
  14 0.675 1646.77 279.594
  15 0.725 1627.45 289.151
  16 0.775 1583.13 296.255
  17 0.825 1610.56 312.048
  18 0.875 1687.64 321.24
  19 0.925 1526.14 326.965
  20 0.975 1580.59 339.786
33000 20 32020
  1 0.025 1625.14 351.715
  2 0.075 1565.7 345.843
  3 0.125 1567.65 335.774
  4 0.175 1605.99 324.022
  5 0.225 1624.5 314.665
  6 0.275 1558.51 300.76
  7 0.325 1571 283.178
  8 0.375 1622.17 277.817
  9 0.425 1581.99 266.195
  10 0.475 1593.7 258.311
  11 0.525 1647.12 250.057
  12 0.575 1616.79 256.931
  13 0.625 1584 261.806
  14 0.675 1637.71 278.362
  15 0.725 1632.25 286.249
  16 0.775 1591.11 298.559
  17 0.825 1599.23 313.208
  18 0.875 1672.81 323.515
  19 0.925 1531.55 328.983
  20 0.975 1591.08 337.857
34000 20 32020
  1 0.025 1611.41 347.529
  2 0.075 1559.52 345.327
  3 0.125 1571.43 339.074
  4 0.175 1604.72 322.628
  5 0.225 1635.88 313.449
  6 0.275 1554.31 297.177
  7 0.325 1567.99 285.646
  8 0.375 1637.13 277.978
  9 0.425 1593.35 265.641
  10 0.475 1595.53 259.931
  11 0.525 1628.99 250.505
  12 0.575 1605.07 256.673
  13 0.625 1592.37 265.082
  14 0.675 1644.9 274.912
  15 0.725 1629.41 286.481
  16 0.775 1600.86 306.494
  17 0.825 1593.49 311.779
  18 0.875 1680.69 319.48
  19 0.925 1532.92 335.103
  20 0.975 1580.03 337.323
