,pDMA_iso_dp300_poly_smp1,pDMA_iso_dp300_poly_smp2,pDMA_iso_dp300_poly_smp3,pDMA_iso_dp300_poly_mean,pDMA_iso_dp300_poly_std
TotEng,115040.23200000002,113738.49,114171.33966666668,114316.68722222223,662.9309862802382
Density,1.09618948,1.0919387200000001,1.092867816666667,1.093665338888889,0.0022347866599752484
Mn,29999.93138140713,29643.285091338133,29752.26034663712,29798.49227312746,182.76265298263394
DPn,302.8,299.2,300.3,300.76666666666665,1.844812546936238
PDI,1.3007907445900104,1.2966728998306225,1.3283296538148874,1.3085977660785069,0.017211905954787558
%mm,0.9146668994442504,0.9029800396480168,0.8974916770666411,0.9050462053863028,0.00877204916616595
herman_x,0.0014697930980214124,-0.0030941229071191523,0.003219380062435334,0.000531683417779198,0.003259619190299143
herman_y,0.0037402851183327085,-0.0012192355283686905,-0.000953889377571295,0.0005223867374642409,0.0027899381063264963
herman_z,-0.005210078216354126,0.004313358435487843,-0.00226549068486405,-0.0010540701552434445,0.0048759220861393435
herman_avg,-0.0016189507664820918,-0.007003856259740919,0.008333229803008052,-9.65257410716532e-05,0.007781059419676679
shape_aniso,0.39419071035394404,0.36970127200634295,0.38645497058708767,0.38344898431579155,0.012518390980579502
Rg,799.7254454485507,812.1051795536798,865.4544903351219,825.7617051124508,34.92781632421714
ehex_kappa,0.2629151529678286,0.2563668381516988,0.257847136850794,0.2590430426567738,0.003434057331403815
ehex_kappa_x,0.2622140576239087,0.24373864095785414,0.2735458139746896,0.25983283751881747,0.015045582331885953
ehex_kappa_y,0.25293192320690056,0.26674337006651566,0.2490970244733711,0.25625743924892913,0.009281307607633479
ehex_kappa_z,0.2735994780726764,0.2586185034307266,0.25089857210432137,0.2610388512025748,0.011542371742780702
lav_kappa,0.2890840725038088,0.28296528222153994,0.28118972043092144,0.28441302505209004,0.0041415176131742075
lav_kappa_x,0.2886511640728561,0.278005632904173,0.2870965254862819,0.2845844408211036,0.005750196560954986
lav_kappa_y,0.28690368395187427,0.28558198033465265,0.2797231932336454,0.28406961917339074,0.0038216866630079297
lav_kappa_z,0.29169736948669606,0.28530823342579414,0.27674944257283707,0.28458501516177576,0.007500160881512796
