,pDMA_iso_dp200_mono_smp1,pDMA_iso_dp200_mono_smp2,pDMA_iso_dp200_mono_smp3,pDMA_iso_dp200_mono_mean,pDMA_iso_dp200_mono_std
TotEng,76000.18143333333,76017.6735,75999.6,76005.81831111111,10.271009876040965
Density,1.0910216300000002,1.0958697000000002,1.0940501066666668,1.0936471455555556,0.002449026117465035
Mn,19815.698431664383,19815.698431664383,19815.698431664383,19815.698431664383,0.0
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0,1.0,1.0,1.0,0.0
%mm,0.9080808080808082,0.9075757575757575,0.9035353535353536,0.9063973063973064,0.0024913549809677466
herman_x,-0.0033582844859349624,0.0036804185874354397,-0.0033584805478247735,-0.0010121154821080987,0.004063853713531062
herman_y,-0.001815253042008159,-0.0019061276762695988,-0.003615201284124917,-0.002445527334134225,0.0010139859031333515
herman_z,0.005173537527943111,-0.0017742909111658552,0.006973681831949703,0.0034576428162423193,0.004619521379407746
herman_avg,-0.006545941125566136,0.003755820209051838,-0.0010334707926574276,-0.0012745305697239087,0.005155109505233325
shape_aniso,0.44937820661479844,0.3991649444276452,0.35751596001003627,0.40201970368415996,0.04599761217311206
Rg,642.3930765380508,641.073308790534,597.2980923778061,626.9214925687969,25.66310242124953
ehex_kappa,0.24559436639716203,0.24617504466255838,0.247651105286434,0.24647350544871813,0.0010603550562510858
ehex_kappa_x,0.25246389042395484,0.2508587615025849,0.2320198547689178,0.24511416889848583,0.011368373085292758
ehex_kappa_y,0.25140604239080083,0.24035392283234638,0.24798309887093178,0.24658102136469298,0.005657888535816026
ehex_kappa_z,0.23291316637673043,0.24731244965274388,0.26295036221945245,0.2477253260829756,0.015022853714707133
lav_kappa,0.27753841425924264,0.27743155618148263,0.2800552556403983,0.27834174202704115,0.0014849078555808554
lav_kappa_x,0.27881834507601183,0.27821896929140494,0.2709066515754944,0.27598132198097036,0.004404999730528233
lav_kappa_y,0.27851132818686736,0.2769981229574289,0.2772628069715286,0.27759075270527495,0.0008081514832083029
lav_kappa_z,0.2752855695148487,0.277077576295614,0.291996308374172,0.28145315139487825,0.00917449951730884
mp_kappa,0.2515373364970798,0.2553829311577434,0.25254851230280045,0.25315625998587454,0.001993531416417241
mp_kappa_x,0.2534230930220362,0.25501420931607915,0.23733277659727825,0.24859002631179786,0.0097814705497988
mp_kappa_y,0.2588273461314129,0.25204513190300837,0.2543575555185571,0.2550766778509928,0.003447819623580823
mp_kappa_z,0.24236157033779038,0.2590894522541426,0.26595520479256607,0.255802075794833,0.012135486380253234
gk_kappa,1.37684305,1.38642508,1.4646057600000004,1.4092912966666669,0.04814271715557046
gk_kappa_x,1.4471454866666669,1.3597989366666667,1.5136762333333331,1.4402068855555556,0.07717294698529174
gk_kappa_y,1.1400566466666668,1.3915064766666665,1.4081668566666667,1.3132433266666668,0.15021521781265326
gk_kappa_z,1.5433270399999999,1.4079698166666665,1.4719742033333332,1.4744236866666665,0.06771184869413682
