,pDMA_iso_dp100_poly_smp1,pDMA_iso_dp100_poly_smp2,pDMA_iso_dp100_poly_smp3,pDMA_iso_dp100_poly_mean,pDMA_iso_dp100_poly_std
TotEng,38543.589,37909.694599999995,37533.829699999995,37995.70443333333,510.3447163992649
Density,1.0930381033333334,1.09757199,1.0904554333333334,1.0936885088888888,0.0036025845219082053
Mn,10067.366503116915,9898.950199473324,9789.974944174513,9918.763882254918,139.7531958924416
DPn,101.6,99.9,98.8,100.10000000000001,1.4106735979665863
PDI,1.2746706544805253,1.3332997614366309,1.3134885352855623,1.3071529837342395,0.02982360567926384
%mm,0.9096568541311021,0.922345233562047,0.860302596865453,0.8974348948528673,0.03277734596509471
herman_x,0.004545197173903611,0.007281049511874066,0.011232006412163346,0.007686084365980342,0.003361754656723123
herman_y,0.006320131880521127,0.010895993195214114,-0.011996770796799519,0.0017397847596452402,0.012114220800748846
herman_z,-0.010865329054424744,-0.01817704270708818,0.0007647643846362299,-0.009425869125625565,0.009552593765045659
herman_avg,0.001175296566717144,-0.007632725934577739,-0.006630218905170932,-0.0043625494243438425,0.004822038858360143
shape_aniso,0.5111679915941935,0.5356251572193977,0.6021105869297577,0.5496345785811164,0.0470620529382185
Rg,372.621505270697,360.9106949772375,389.6668815457639,374.39969393123283,14.460326160751634
ehex_kappa,0.22621700755954746,0.22663003283846286,0.22223338054015204,0.22502680697938746,0.002427976714019384
ehex_kappa_x,0.24629713089241886,0.23631981793924564,0.24206328492165638,0.24156007791777365,0.005007654781228138
ehex_kappa_y,0.20206350994178987,0.1951863555287092,0.19926157293823724,0.19883714613624545,0.00345816668019711
ehex_kappa_z,0.23029038184443368,0.24838392504743376,0.2253752837605625,0.2346831968841433,0.012117013305547016
lav_kappa,0.27448432926773275,0.2730090121775546,0.2724107931803518,0.2733013782085464,0.0010672377422468826
lav_kappa_x,0.2810060778404961,0.27505448194556087,0.2841513320029393,0.2800706305963321,0.004620007186311184
lav_kappa_y,0.2701167184376452,0.27012380124092117,0.2627372786503199,0.26765926610962876,0.004262567647993472
lav_kappa_z,0.272330191525057,0.2738487533461818,0.2703437688877961,0.2721742379196783,0.0017576888685584538
mp_kappa,0.23804747953385216,0.23638875989168043,0.22849995112064916,0.2343120635153939,0.00510130626209511
mp_kappa_x,0.25238303188312744,0.2492952297953531,0.24949589156204646,0.250391384413509,0.0017277329129762153
mp_kappa_y,0.21665736998265925,0.2062441675507839,0.2044965025820534,0.20913268003849886,0.006574899411971518
mp_kappa_z,0.24510203673576977,0.25362688232890435,0.23150745921784768,0.24341212609417393,0.011156122452443816
gk_kappa,1.4569084333333333,1.38239841,1.455754526666667,1.4316871233333337,0.04268917686827055
gk_kappa_x,1.3139576733333334,1.5034328099999998,1.5041856166666665,1.4405253666666666,0.10961148400719632
gk_kappa_y,1.48982412,1.3794858366666667,1.43193588,1.433748612222222,0.05519147299011729
gk_kappa_z,1.5669435133333336,1.2642765833333336,1.4311420900000003,1.4207873955555559,0.15159891952677162
