,mean,std
TotEng,76948.60960000001,166.18026761811348
Density,1.0915342333333335,0.0022306413061677034
Mn,20033.64894226203,10813.062102563388
DPn,202.2,109.14742324031292
PDI,1.2913246787234676,0.0
%mm,0.9066959246455847,0.019662464227539866
herman_x,-0.010537991056612274,0.001654253344753359
herman_y,-0.001881644949789834,0.001868847285389414
herman_z,0.012419636006402111,0.002229969235259391
herman_avg,0.01599305742335644,0.0015083583585509919
shape_aniso,0.39359373569513256,0.20928531781640625
Rg,649.0599845374377,197.60316425051604
ehex_kappa,0.24324004187857695,0.011148503054326294
ehex_kappa_x,0.24939660945318493,
ehex_kappa_y,0.24995265320493787,
ehex_kappa_z,0.2303708629776081,
lav_kappa,0.27823821437532564,0.0037130142284135946
lav_kappa_x,0.2764244910498593,
lav_kappa_y,0.2757806622058443,
lav_kappa_z,0.2825094898702733,
mp_kappa,0.2504251258407198,0.006444210307214683
mp_kappa_x,0.25256624694899643,
mp_kappa_y,0.2555262382188893,
mp_kappa_z,0.24318289235427365,
gk_kappa,1.4135637566666668,0.0024223461317182974
gk_kappa_x,1.4828123766666665,0.0030545616609378304
gk_kappa_y,1.3164182266666669,0.002588656379606638
gk_kappa_z,1.44146065,0.007919845462431253
