,mean,std
TotEng,75999.6,191.83079478234959
Density,1.0940501066666668,0.0019383422166685546
Mn,19815.698431664383,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.9035353535353536,0.018411844579351713
herman_x,-0.0033584805478247735,0.0022652726594035253
herman_y,-0.003615201284124917,0.0021142209015000244
herman_z,0.006973681831949703,0.0018618637001044914
herman_avg,-0.0010334707926574276,0.001955263006814946
shape_aniso,0.35751596001003627,0.2041845880005487
Rg,597.2980923778061,246.72851771316465
ehex_kappa,0.247651105286434,0.015467926092143244
ehex_kappa_x,0.2320198547689178,
ehex_kappa_y,0.24798309887093178,
ehex_kappa_z,0.26295036221945245,
lav_kappa,0.2800552556403983,0.010818582769832039
lav_kappa_x,0.2709066515754944,
lav_kappa_y,0.2772628069715286,
lav_kappa_z,0.291996308374172,
mp_kappa,0.25254851230280045,0.014396712366577242
mp_kappa_x,0.23733277659727825,
mp_kappa_y,0.2543575555185571,
mp_kappa_z,0.26595520479256607,
gk_kappa,1.4646057600000004,0.0020748147143864488
gk_kappa_x,1.5136762333333331,0.002754934535843189
gk_kappa_y,1.4081668566666667,0.004351265910187621
gk_kappa_z,1.4719742033333332,0.00815055721769707
