# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 24020
  11 0.525 1281.38 286.71
  12 0.575 1175.63 289.682
  13 0.625 1245.34 288.575
  14 0.675 1156.05 294.563
  15 0.725 1279.7 294.558
  16 0.775 1153.1 294.661
  17 0.825 1217.82 300.666
  18 0.875 1188.34 306.178
  19 0.925 1159.72 307.529
  20 0.975 1241.77 311.999
21000 20 24020
  1 0.025 1160.47 313.509
  2 0.075 1247.01 312.865
  3 0.125 1231.25 308.681
  4 0.175 1169.62 302.164
  5 0.225 1147.76 299.085
  6 0.275 1185.9 302.812
  7 0.325 1195.46 294.427
  8 0.375 1205.53 285.755
  9 0.425 1218.96 289.32
  10 0.475 1165.37 298.923
  11 0.525 1267.18 287.623
  12 0.575 1177.31 286.056
  13 0.625 1244.53 288.689
  14 0.675 1165.27 296.677
  15 0.725 1275.99 294.916
  16 0.775 1160.57 294.264
  17 0.825 1208.26 298.814
  18 0.875 1193.37 306.343
  19 0.925 1153.76 307.298
  20 0.975 1246.43 313.038
22000 20 24020
  1 0.025 1170.64 312.947
  2 0.075 1239.13 308.319
  3 0.125 1222.13 309.931
  4 0.175 1178.25 305.227
  5 0.225 1158.92 300.277
  6 0.275 1188.21 301.818
  7 0.325 1193.57 295.027
  8 0.375 1217.23 288.68
  9 0.425 1204.45 290.696
  10 0.475 1179.54 294.706
  11 0.525 1270.27 283.986
  12 0.575 1166.44 286.456
  13 0.625 1248.8 289.503
  14 0.675 1160.9 293.057
  15 0.725 1273.8 292.596
  16 0.775 1156.72 298.137
  17 0.825 1212.13 297.246
  18 0.875 1196.05 305.824
  19 0.925 1141.18 313.532
  20 0.975 1241.64 315.569
23000 20 24020
  1 0.025 1158.69 318.196
  2 0.075 1260.27 309.217
  3 0.125 1233.35 303.759
  4 0.175 1181.1 309.58
  5 0.225 1149.59 299.4
  6 0.275 1190.86 293.266
  7 0.325 1187.87 297.743
  8 0.375 1212 294.584
  9 0.425 1203.14 288.075
  10 0.475 1158.53 294.411
  11 0.525 1274.48 285.417
  12 0.575 1172.1 282.156
  13 0.625 1251.7 291.622
  14 0.675 1153.79 294.132
  15 0.725 1276.02 292.259
  16 0.775 1158.52 295.374
  17 0.825 1209.24 300.499
  18 0.875 1197.85 305.208
  19 0.925 1148.28 312.261
  20 0.975 1242.62 313.791
24000 20 24020
  1 0.025 1184.07 319.974
  2 0.075 1249.05 305.149
  3 0.125 1222.41 307.629
  4 0.175 1164.46 306.107
  5 0.225 1153.06 297.193
  6 0.275 1191.15 300.128
  7 0.325 1188.79 297.549
  8 0.375 1207.07 296.288
  9 0.425 1216.83 289.454
  10 0.475 1167.17 285.879
  11 0.525 1272.94 284.835
  12 0.575 1167.61 284.593
  13 0.625 1251 290.28
  14 0.675 1169.29 298.394
  15 0.725 1270.1 292.626
  16 0.775 1146.24 294.673
  17 0.825 1221.99 300.563
  18 0.875 1182 303.666
  19 0.925 1156.15 312.092
  20 0.975 1238.62 314.859
25000 20 24019.999999999996
  1 0.025 1183.81 316.925
  2 0.075 1246.18 313.777
  3 0.125 1236.18 300.409
  4 0.175 1168.88 299.439
  5 0.225 1143.33 298.834
  6 0.275 1188.24 297.14
  7 0.325 1183.57 303.049
  8 0.375 1219.74 297.922
  9 0.425 1214.32 285.89
  10 0.475 1159.06 286.582
  11 0.525 1267.98 281.373
  12 0.575 1167.07 284.455
  13 0.625 1245.74 290.744
  14 0.675 1163.51 295.916
  15 0.725 1267.65 291.98
  16 0.775 1167.03 295.055
  17 0.825 1211.62 306.637
  18 0.875 1198.45 305.339
  19 0.925 1145.04 308.308
  20 0.975 1242.6 319.753
26000 20 24020.000000000004
  1 0.025 1172.51 319.265
  2 0.075 1272.26 312.266
  3 0.125 1223.04 301.885
  4 0.175 1162.26 299.095
  5 0.225 1143.65 301.934
  6 0.275 1187.41 299.235
  7 0.325 1194.54 300.582
  8 0.375 1206.93 295.793
  9 0.425 1216.51 286.435
  10 0.475 1160.08 287.567
  11 0.525 1260.5 279.274
  12 0.575 1174.38 289.372
  13 0.625 1243.74 294.277
  14 0.675 1172.9 293.036
  15 0.725 1266.81 292.776
  16 0.775 1180.99 297.722
  17 0.825 1215.36 304.515
  18 0.875 1183.26 304.414
  19 0.925 1145.4 307.597
  20 0.975 1237.47 314.276
27000 20 24019.999999999993
  1 0.025 1176.6 316.346
  2 0.075 1251.65 308.365
  3 0.125 1229.39 311.647
  4 0.175 1173.55 302.936
  5 0.225 1143.12 304.222
  6 0.275 1192.9 301.815
  7 0.325 1195.37 297.77
  8 0.375 1206.21 293.748
  9 0.425 1202.05 288.616
  10 0.475 1179.22 284.229
  11 0.525 1272.4 279.101
  12 0.575 1169.81 289.507
  13 0.625 1252.75 295.193
  14 0.675 1160.24 291.197
  15 0.725 1267.74 293.984
  16 0.775 1146.26 296.83
  17 0.825 1208.08 301.584
  18 0.875 1191.89 306.147
  19 0.925 1155.19 306.423
  20 0.975 1245.58 315.104
28000 20 24020
  1 0.025 1173.59 316.5
  2 0.075 1263.48 305.115
  3 0.125 1234.6 308.951
  4 0.175 1175.07 307.467
  5 0.225 1152.71 305.531
  6 0.275 1199.17 304.493
  7 0.325 1174.3 294.709
  8 0.375 1209.95 293.589
  9 0.425 1216.59 288.873
  10 0.475 1163.34 282.772
  11 0.525 1272.68 279.849
  12 0.575 1177.55 287.282
  13 0.625 1251.89 296.078
  14 0.675 1164.64 292.001
  15 0.725 1261.26 294.417
  16 0.775 1149.17 294.523
  17 0.825 1213.29 303.092
  18 0.875 1187.95 301.659
  19 0.925 1152.79 312.356
  20 0.975 1225.98 313.068
29000 20 24020
  1 0.025 1170.97 309.995
  2 0.075 1261.65 311.874
  3 0.125 1215.48 309.553
  4 0.175 1184.55 307.769
  5 0.225 1141.86 307.974
  6 0.275 1191.23 298.239
  7 0.325 1195.17 292.032
  8 0.375 1210.47 291.473
  9 0.425 1206.98 292.033
  10 0.475 1172.5 285.012
  11 0.525 1265.82 282.925
  12 0.575 1172.75 285.154
  13 0.625 1251.42 295.104
  14 0.675 1166.23 290.315
  15 0.725 1278.85 292.374
  16 0.775 1148.13 297.619
  17 0.825 1211.07 300.577
  18 0.875 1193.15 308.411
  19 0.925 1145.34 310.969
  20 0.975 1236.38 314.337
30000 20 24020
  1 0.025 1166.88 313.82
  2 0.075 1264.03 319.211
  3 0.125 1226.64 311.262
  4 0.175 1182.37 303.351
  5 0.225 1141.08 304.496
  6 0.275 1178.24 300.463
  7 0.325 1200.78 291.868
  8 0.375 1214.67 290.528
  9 0.425 1216.05 289.242
  10 0.475 1162.69 289.438
  11 0.525 1271.54 281.715
  12 0.575 1171.38 284.634
  13 0.625 1243.64 287.203
  14 0.675 1159.29 290.784
  15 0.725 1272.04 297.158
  16 0.775 1166.79 296.75
  17 0.825 1201.87 302.023
  18 0.875 1196.26 305.837
  19 0.925 1142.09 310.052
  20 0.975 1241.67 314.847
31000 20 24019.999999999993
  1 0.025 1174.78 314.466
  2 0.075 1251.1 316.685
  3 0.125 1238.12 308.371
  4 0.175 1167.76 306.212
  5 0.225 1150 302.35
  6 0.275 1190.82 303.589
  7 0.325 1188.18 289.499
  8 0.375 1211.67 293.674
  9 0.425 1207.68 289.277
  10 0.475 1175.74 286.344
  11 0.525 1271.32 281.904
  12 0.575 1158.79 287.801
  13 0.625 1262.61 285.623
  14 0.675 1158.55 286.949
  15 0.725 1274.94 298.981
  16 0.775 1151.3 298.272
  17 0.825 1205.1 296.575
  18 0.875 1188.87 307.238
  19 0.925 1153.17 314.937
  20 0.975 1239.5 317.048
32000 20 24020.000000000004
  1 0.025 1176.23 321.426
  2 0.075 1257.55 316.222
  3 0.125 1240.77 308.603
  4 0.175 1174.15 304.445
  5 0.225 1145.45 304.921
  6 0.275 1187.07 301.762
  7 0.325 1174.05 293.594
  8 0.375 1211.85 293.959
  9 0.425 1218.2 285.801
  10 0.475 1166.77 283.746
  11 0.525 1277.42 282.568
  12 0.575 1163.81 284.493
  13 0.625 1235.2 284.849
  14 0.675 1170.34 287.512
  15 0.725 1263.9 294.299
  16 0.775 1157.24 297.758
  17 0.825 1211 304.219
  18 0.875 1190.77 306.5
  19 0.925 1168.18 311.767
  20 0.975 1230.05 310.836
33000 20 24020.000000000007
  1 0.025 1167.24 312.831
  2 0.075 1253.83 317.861
  3 0.125 1223.11 312.495
  4 0.175 1171 305.715
  5 0.225 1138.67 308.591
  6 0.275 1182.25 304.68
  7 0.325 1188.64 294.268
  8 0.375 1211.96 288.821
  9 0.425 1216.37 288.051
  10 0.475 1163.66 280.126
  11 0.525 1273.36 283.762
  12 0.575 1177.29 283.442
  13 0.625 1252.04 285.791
  14 0.675 1164.11 290.469
  15 0.725 1272.99 297.299
  16 0.775 1169.19 300.428
  17 0.825 1203.9 303.737
  18 0.875 1200.81 304.782
  19 0.925 1138.99 314.715
  20 0.975 1250.59 310.448
34000 20 24019.999999999993
  1 0.025 1157.44 315.08
  2 0.075 1261.1 315.148
  3 0.125 1230.07 311.854
  4 0.175 1193.71 305.115
  5 0.225 1149.74 307.902
  6 0.275 1185.41 303.02
  7 0.325 1182.97 294.355
  8 0.375 1197.54 291.194
  9 0.425 1215.46 286.356
  10 0.475 1162.12 283.317
  11 0.525 1272.33 279.423
  12 0.575 1180.49 279.591
  13 0.625 1244.79 289.018
  14 0.675 1158.71 291.163
  15 0.725 1264.03 296.877
  16 0.775 1163.66 296.585
  17 0.825 1207.1 297.892
  18 0.875 1203.46 306.795
  19 0.925 1140.59 316.02
  20 0.975 1249.28 314.976
35000 20 24019.999999999996
  1 0.025 1160.75 319.521
  2 0.075 1243.03 316.329
  3 0.125 1229.05 304.539
  4 0.175 1187.9 305
  5 0.225 1133.56 307.925
  6 0.275 1188.55 298.059
  7 0.325 1179.62 295.567
  8 0.375 1207.48 291.17
  9 0.425 1222.47 283.103
  10 0.475 1160.66 285.356
  11 0.525 1275.98 281.554
  12 0.575 1175.44 279.939
  13 0.625 1248.42 288.464
  14 0.675 1171.27 293.776
  15 0.725 1269.95 294.525
  16 0.775 1166.53 297.276
  17 0.825 1209.94 295.814
  18 0.875 1192.74 308.277
  19 0.925 1156.79 313.926
  20 0.975 1239.87 318.258
36000 20 24020
  1 0.025 1173.42 319.348
  2 0.075 1249.29 311.982
  3 0.125 1222.4 303.329
  4 0.175 1176.43 305.043
  5 0.225 1143.02 308.824
  6 0.275 1182.72 302.807
  7 0.325 1188.88 299.355
  8 0.375 1214.66 288.265
  9 0.425 1217.8 284.516
  10 0.475 1162.7 283.249
  11 0.525 1276.5 278.885
  12 0.575 1171.07 282.973
  13 0.625 1245.13 288.169
  14 0.675 1172.05 294.431
  15 0.725 1268.76 287.59
  16 0.775 1160.92 298.49
  17 0.825 1212.55 301.172
  18 0.875 1189.47 305.73
  19 0.925 1151.27 313.451
  20 0.975 1240.96 324.072
37000 20 24019.999999999996
  1 0.025 1174.14 323.024
  2 0.075 1248.98 312.923
  3 0.125 1227.61 305.864
  4 0.175 1175.59 308.788
  5 0.225 1137.75 303.702
  6 0.275 1181.72 302.192
  7 0.325 1181.86 296.498
  8 0.375 1222.6 293.61
  9 0.425 1210.63 284.36
  10 0.475 1163.87 282.052
  11 0.525 1284.81 279.244
  12 0.575 1175.66 290.253
  13 0.625 1250.56 285.07
  14 0.675 1155.37 289.733
  15 0.725 1261.66 287.265
  16 0.775 1163.76 296.075
  17 0.825 1202.88 298.772
  18 0.875 1196.07 311.113
  19 0.925 1156.95 317.313
  20 0.975 1247.53 316.001
38000 20 24020
  1 0.025 1169.18 324.624
  2 0.075 1248.41 312.965
  3 0.125 1226.73 309.854
  4 0.175 1190.58 305.852
  5 0.225 1132.37 308.812
  6 0.275 1176.64 304.209
  7 0.325 1188.98 291.469
  8 0.375 1216.18 290.43
  9 0.425 1209.48 285.804
  10 0.475 1172.63 281.616
  11 0.525 1276.83 281.228
  12 0.575 1165.02 287.644
  13 0.625 1252.06 285.464
  14 0.675 1166.42 288.453
  15 0.725 1272.3 291.438
  16 0.775 1165.2 293.124
  17 0.825 1220.42 305.609
  18 0.875 1186.57 305.12
  19 0.925 1135.46 312.013
  20 0.975 1248.54 318.193
39000 20 24020.000000000004
