,PMMA_smp1,PMMA_smp2,PMMA_smp3,PMMA_mean,PMMA_std
TotEng,129954.44966666665,129802.342,130001.11899999999,129919.30355555554,103.94474867411174
Density,1.0519273466666668,1.05626761,1.0491620833333333,1.0524523466666666,0.003581737853706995
Mn,20012.501549264336,20012.501549264336,20012.501549264336,20012.501549264336,0.0
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0,1.0,1.0,1.0,0.0
%mm,0.501010101010101,0.5080808080808081,0.49898989898989904,0.5026936026936027,0.0047735511376289065
herman_x,0.0013697349499232553,-0.0006757152712097909,0.0011643933089857171,0.0006194709958997272,0.0011263533625188616
herman_y,-0.013148161347787849,0.009595762285019507,0.0031204123622280743,-0.00014399556684675593,0.011718096470813774
herman_z,0.011778426397864592,-0.008920047013809706,-0.004284805671213788,-0.00047547542905296714,0.010862317803481342
herman_avg,0.0022351375694571445,0.015252744484472376,-0.0007868290037964914,0.005567017683377677,0.008523089125519497
shape_aniso,0.3835293682043309,0.3910244149801357,0.3704223378803836,0.3816587070216168,0.010427651948133752
Rg,644.248441394159,675.2390876674965,662.2089070818151,660.5654787144903,15.560548888412562
ehex_kappa,0.19952906604499598,0.20542901061563343,0.2043717911049174,0.20310995592184897,0.0031458715018370725
ehex_kappa_x,0.20042075443684537,0.204425993062705,0.21143922746490282,0.2054286583214844,0.005577247545463597
ehex_kappa_y,0.20811446236335085,0.22550982695059357,0.19692115109984742,0.21018181347126394,0.01440602485688891
ehex_kappa_z,0.19005198133479168,0.18635121183360173,0.20475499475000192,0.19371939597279844,0.009734590592510584
lav_kappa,0.22933261106377023,0.2354125284641773,0.22542248128541145,0.23005587360445298,0.005034142646524627
lav_kappa_x,0.22280459979298317,0.23814031352940598,0.22888119380420668,0.2299420357088653,0.007722698240342335
lav_kappa_y,0.22664169495117645,0.24077394229621885,0.22700410390176606,0.23147324704972047,0.008056676368890911
lav_kappa_z,0.23855153844715105,0.22732332956690704,0.22038214615026167,0.22875233805477324,0.009168601477507955
