,mean,std
TotEng,129954.44966666665,177.5635925420451
Density,1.0519273466666668,0.001523943016115698
Mn,20012.501549264336,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.501010101010101,0.030787375058844785
herman_x,0.0013697349499232553,0.001474059882105516
herman_y,-0.013148161347787849,0.0017793548639271606
herman_z,0.011778426397864592,0.001692153818316371
herman_avg,0.0022351375694571445,0.0018130377139060313
shape_aniso,0.3835293682043309,0.12213633821971574
Rg,644.248441394159,162.2338025243237
ehex_kappa,0.19952906604499598,0.00906419529621269
ehex_kappa_x,0.20042075443684537,
ehex_kappa_y,0.20811446236335085,
ehex_kappa_z,0.19005198133479168,
lav_kappa,0.22933261106377023,0.008211107805180381
lav_kappa_x,0.22280459979298317,
lav_kappa_y,0.22664169495117645,
lav_kappa_z,0.23855153844715105,
