,mean,std
TotEng,16509.97883333333,118.50369017594407
Density,0.8476648486666666,0.002694094596850206
Mn,5608.275675664004,9.094947017729282e-13
DPn,200.0,0.0
PDI,1.0000000000000002,0.0
%mm,0.0,0.0
herman_x,-0.07587227747221632,0.0057814738198256116
herman_y,-0.07497178962389102,0.005321103249259509
herman_z,0.15084406709610734,0.0049135382335240806
herman_avg,0.14999759935586124,0.004831373714048516
shape_aniso,0.9980043174984295,0.0010317031105475203
Rg,2774.1870729229113,764.8445235203111
ehex_kappa,0.5748287400000001,0.6353129869456863
ehex_kappa_x,0.21116241,
ehex_kappa_y,0.20490771,
ehex_kappa_z,1.3084161,
lav_kappa,0.7297601033333333,0.7242707628607289
lav_kappa_x,0.32168775,
lav_kappa_y,0.30159706,
lav_kappa_z,1.5659955,
