,mean,std
TotEng,15108.640633333333,120.73768109031995
Density,0.836361509,0.0031637413607913147
Mn,5608.275675664005,0.0
DPn,200.0,0.0
PDI,1.0,0.0
%mm,0.0,0.0
herman_x,0.0297469294483562,0.004074365444471096
herman_y,0.007888204488549705,0.004226665887098883
herman_z,-0.037635133936905873,0.004148969138934659
herman_avg,-0.03590136897269644,0.004218736330557175
shape_aniso,0.9451928699632572,0.09686614259867583
Rg,1160.1242805058923,512.7287580660634
ehex_kappa,0.32911487666666667,0.07117144822838181
ehex_kappa_x,0.28759103,
ehex_kappa_y,0.28845854,
ehex_kappa_z,0.41129506,
lav_kappa,0.4519471466666667,0.01948731571982486
lav_kappa_x,0.45153584,
lav_kappa_y,0.43266874,
lav_kappa_z,0.47163686,
