# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
11000 20 32019.999999999996
  10 0.475 1643.51 290.771
  11 0.525 1598.55 287.772
  12 0.575 1510.32 298.333
  13 0.625 1611.1 296.17
  14 0.675 1600.96 298.463
  15 0.725 1627.1 293.889
  16 0.775 1585.06 300.026
  17 0.825 1583.56 295.043
  18 0.875 1589.52 300.58
  19 0.925 1677.55 310.26
  20 0.975 1614.26 307.474
21000 20 32020
  1 0.025 1579.35 312.729
  2 0.075 1648.08 304.811
  3 0.125 1568.71 305.385
  4 0.175 1573.59 301.402
  5 0.225 1601.27 299.079
  6 0.275 1580.24 293.626
  7 0.325 1641.27 298.8
  8 0.375 1598.41 304.751
  9 0.425 1584.07 292.901
  10 0.475 1641.04 291.118
  11 0.525 1605.47 280.808
  12 0.575 1524.25 296.029
  13 0.625 1597.4 298.862
  14 0.675 1602.57 293.837
  15 0.725 1631.25 296.589
  16 0.775 1558.88 299.132
  17 0.825 1590.78 296.194
  18 0.875 1603.25 302.96
  19 0.925 1668.89 308.475
  20 0.975 1621.23 314.512
22000 20 32020.000000000007
  1 0.025 1550.27 316.236
  2 0.075 1643.62 307.161
  3 0.125 1562.43 308.234
  4 0.175 1592.39 299.439
  5 0.225 1596.3 295.755
  6 0.275 1582.82 296.925
  7 0.325 1640.27 299.954
  8 0.375 1592.94 301.013
  9 0.425 1610.85 289.464
  10 0.475 1632.73 293.511
  11 0.525 1607.85 279.509
  12 0.575 1516.05 294.635
  13 0.625 1629.64 298.464
  14 0.675 1608.45 290.857
  15 0.725 1613.83 297.114
  16 0.775 1568.68 298.358
  17 0.825 1574.99 296.539
  18 0.875 1612.68 303.544
  19 0.925 1660.79 307.811
  20 0.975 1622.42 316.608
23000 20 32020
  1 0.025 1550.02 317.469
  2 0.075 1636.13 309.814
  3 0.125 1570.74 305.048
  4 0.175 1577.67 300.644
  5 0.225 1611.29 296.564
  6 0.275 1586.96 297.549
  7 0.325 1628.95 297.074
  8 0.375 1594.34 302.194
  9 0.425 1619.86 292.106
  10 0.475 1643.37 289.746
  11 0.525 1597.1 275.916
  12 0.575 1526.65 296.583
  13 0.625 1605.39 300.915
  14 0.675 1617.32 289.453
  15 0.725 1607.14 294.03
  16 0.775 1568.72 296.23
  17 0.825 1594.41 298.517
  18 0.875 1607.78 307.44
  19 0.925 1664.78 310
  20 0.975 1611.38 314.538
24000 20 32020.000000000007
  1 0.025 1543.18 321.944
  2 0.075 1653.71 310.558
  3 0.125 1559.35 303.185
  4 0.175 1579.44 305.208
  5 0.225 1608.81 300.177
  6 0.275 1593.95 298.92
  7 0.325 1651.52 296.008
  8 0.375 1598.66 297.854
  9 0.425 1603.42 293.493
  10 0.475 1644.66 285.805
  11 0.525 1596.31 275.786
  12 0.575 1507.83 297.922
  13 0.625 1603.82 298.451
  14 0.675 1611.06 291.617
  15 0.725 1617.85 293.398
  16 0.775 1587.54 295.328
  17 0.825 1584.21 298.783
  18 0.875 1591.42 305.283
  19 0.925 1665.43 308.737
  20 0.975 1617.83 314.901
25000 20 32020
  1 0.025 1539.26 320.672
  2 0.075 1663.18 309.724
  3 0.125 1565.94 305.116
  4 0.175 1581.89 307.163
  5 0.225 1599.76 300.464
  6 0.275 1599.44 299.028
  7 0.325 1648.21 297.446
  8 0.375 1593.75 292.793
  9 0.425 1611.32 293.278
  10 0.475 1646.71 285.974
  11 0.525 1583.35 280.848
  12 0.575 1505.02 293.062
  13 0.625 1610.68 293.676
  14 0.675 1595.47 292.045
  15 0.725 1623.27 296.014
  16 0.775 1587.98 294.599
  17 0.825 1591.04 299.243
  18 0.875 1593.9 304.655
  19 0.925 1669.14 308.938
  20 0.975 1610.69 318.925
