,PS_smp1,PS_smp2,PS_smp3,PS_mean,PS_std
TotEng,56594.12769999999,57677.89653333333,58714.44776666667,57662.157333333336,1060.2476541307838
Density,1.0206816600000002,1.01917504,1.0161511466666668,1.0186692822222223,0.0023072128127276555
Mn,20814.5357012643,20814.5357012643,20814.5357012643,20814.5357012643,0.0
DPn,200.0,200.0,200.0,200.0,0.0
PDI,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999997,1.3597399555105182e-16
%mm,0.498989898989899,0.5030303030303032,0.49343434343434345,0.49848484848484853,0.004817874754631093
herman_x,-0.00771720535419429,-0.009870367075516341,0.0040429266328508885,-0.0045148819322865805,0.0074890648233071665
herman_y,0.0068323078120968534,-0.0005660611242032206,-0.004271629511416528,0.0006648723921590351,0.005653384297251191
herman_z,0.0008848975420974522,0.010436428199719554,0.00022870287856563063,0.003850009540127546,0.005713434249965449
herman_avg,0.002058107828276158,-0.010686261563779761,0.007812634511234451,-0.00027183974142305084,0.009466983720103489
shape_aniso,0.3602002954219274,0.4262763371445068,0.3867253898351547,0.39106734080052963,0.033251319162858846
Rg,700.4832594817037,689.1742387215678,643.4610261102919,677.7061747711879,30.19140842596521
ehex_kappa,0.18332957656258989,0.18200578151906935,0.17883775699954793,0.18139103836040238,0.0023081470078999467
ehex_kappa_x,0.19598808103324208,0.18208328267136425,0.17337339848928793,0.1838149207312981,0.01140635324803308
ehex_kappa_y,0.18379746549553866,0.17659646772337523,0.18566225826949445,0.18201873049613612,0.004787490282507198
ehex_kappa_z,0.17020318315898902,0.18733759416246862,0.1774776142398614,0.178339463853773,0.008599656892969064
lav_kappa,0.2321571574437883,0.22915984307450307,0.22979557496148786,0.23037085849325975,0.0015792994375756768
lav_kappa_x,0.2301841320410958,0.22906755477163693,0.22919184073299081,0.22948117584857453,0.0006119414240762242
lav_kappa_y,0.2356911031613926,0.22182013321540492,0.22892810634141336,0.22881311423940365,0.006936199910488948
lav_kappa_z,0.23059623712887645,0.23659184123646732,0.23126677781005942,0.23281828539180105,0.0032851482441271164
