# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 32020.000000000004
  10 0.475 1622.94 254.882
  11 0.525 1629.47 252.105
  12 0.575 1609.71 253.891
  13 0.625 1586.91 266.962
  14 0.675 1651.63 275.989
  15 0.725 1597.39 287.583
  16 0.775 1639.77 297.798
  17 0.825 1551.21 304.443
  18 0.875 1596.3 322.102
  19 0.925 1644.16 336.536
  20 0.975 1538.47 340.294
31000 20 32020.000000000004
  1 0.025 1599.81 350.549
  2 0.075 1622.52 341.363
  3 0.125 1541.9 331.647
  4 0.175 1544.67 318.108
  5 0.225 1622.36 308.939
  6 0.275 1612.56 296.707
  7 0.325 1588.13 295.161
  8 0.375 1582.93 273.258
  9 0.425 1630.97 266.165
  10 0.475 1623.87 253.672
  11 0.525 1621.29 254.336
  12 0.575 1616.52 254.99
  13 0.625 1587.7 266.891
  14 0.675 1642.36 276.955
  15 0.725 1595.49 286.467
  16 0.775 1639.04 296.447
  17 0.825 1548.69 307.792
  18 0.875 1603.88 319.64
  19 0.925 1641.3 335.085
  20 0.975 1554.01 349.105
32000 20 32020.000000000004
  1 0.025 1603.05 353.419
  2 0.075 1627.23 342.271
  3 0.125 1552.88 336.434
  4 0.175 1544.43 321.436
  5 0.225 1621.1 306.312
  6 0.275 1605.13 300.645
  7 0.325 1595.01 291.07
  8 0.375 1590.27 275.712
  9 0.425 1622.35 264.352
  10 0.475 1635.13 253.503
  11 0.525 1617.33 251.222
  12 0.575 1620.35 254.178
  13 0.625 1575.52 263.34
  14 0.675 1658.49 280.023
  15 0.725 1588.95 290.834
  16 0.775 1639.35 296.048
  17 0.825 1557.34 306.562
  18 0.875 1591.46 316.098
  19 0.925 1645.43 330.249
  20 0.975 1529.2 350.824
33000 20 32019.999999999996
  1 0.025 1607.92 349.016
  2 0.075 1612.13 337.051
  3 0.125 1544.34 333.243
  4 0.175 1549.95 322.768
  5 0.225 1621.82 308.662
  6 0.275 1602.37 298.413
  7 0.325 1590.6 290.412
  8 0.375 1597.11 277.226
  9 0.425 1632.25 266.785
  10 0.475 1626.03 253.93
  11 0.525 1622.99 251.992
  12 0.575 1615.33 252.799
  13 0.625 1582.62 265.254
  14 0.675 1668.12 279.457
  15 0.725 1575.6 289.198
  16 0.775 1627.71 298.685
  17 0.825 1558.55 305.589
  18 0.875 1595.8 319.426
  19 0.925 1655.87 330.404
  20 0.975 1532.89 345.993
34000 20 32020.000000000004
  1 0.025 1596.22 348.971
  2 0.075 1610.9 340.98
  3 0.125 1558.02 333.464
  4 0.175 1563.99 320.957
  5 0.225 1605.12 309.507
  6 0.275 1603.72 296.758
  7 0.325 1578.15 288.453
  8 0.375 1589.86 280.218
  9 0.425 1643.03 263.658
  10 0.475 1620.82 254.491
  11 0.525 1611.24 249.56
  12 0.575 1603.4 251.813
  13 0.625 1602.4 262.743
  14 0.675 1665.72 280.688
  15 0.725 1582.7 292.059
  16 0.775 1636.49 300.125
  17 0.825 1552.26 306.417
  18 0.875 1592.85 315.888
  19 0.925 1662.18 334.25
  20 0.975 1540.93 340.217
35000 20 32020
  1 0.025 1584.81 349.474
  2 0.075 1608.82 340.307
  3 0.125 1561.43 333.226
  4 0.175 1556.69 321.377
  5 0.225 1625.21 309.561
  6 0.275 1606.36 296.061
  7 0.325 1581.37 287.46
  8 0.375 1597.54 277.025
