# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 82020.00000000001
  11 0.525 4384.52 251.144
  12 0.575 4232.75 264.969
  13 0.625 4101.59 287.907
  14 0.675 4065.63 298.355
  15 0.725 3987.45 299.91
  16 0.775 4103.16 296.108
  17 0.825 4029.22 299.285
  18 0.875 4060.32 299.706
  19 0.925 3962.23 307.257
  20 0.975 3922.96 330.357
31000 20 82019.99999999999
  1 0.025 3995.26 349.282
  2 0.075 3996.63 329.73
  3 0.125 3996.78 306.064
  4 0.175 4034.43 299.431
  5 0.225 3972.79 302.385
  6 0.275 4102.55 297.552
  7 0.325 4127.59 301.956
  8 0.375 4255.61 297.725
  9 0.425 4291.56 286.923
  10 0.475 4381.8 262.792
  11 0.525 4404.25 250.131
  12 0.575 4228.68 263.79
  13 0.625 4098.39 286.425
  14 0.675 4065.99 297.45
  15 0.725 3976.35 299.377
  16 0.775 4079.7 294.654
  17 0.825 4034.2 300.211
  18 0.875 4072.54 300.036
  19 0.925 3972.76 308.588
  20 0.975 3932.14 332
32000 20 82020
  1 0.025 4001 351.824
  2 0.075 4010.94 329.349
  3 0.125 3993.69 307.11
  4 0.175 4005.29 299.121
  5 0.225 3997.39 302.404
  6 0.275 4105.21 296.073
  7 0.325 4113.4 301.648
  8 0.375 4253.63 296.82
  9 0.425 4295.32 287.534
  10 0.475 4378.39 261.902
  11 0.525 4403.81 250.001
  12 0.575 4231.14 265.85
  13 0.625 4099.15 285.073
  14 0.675 4056.04 297.82
  15 0.725 3981.15 299.152
  16 0.775 4082.24 295.498
  17 0.825 4031.37 299.413
  18 0.875 4072.19 299.417
  19 0.925 3979.91 307.809
  20 0.975 3928.74 333.755
33000 20 82020.00000000001
  1 0.025 4012.96 349.883
  2 0.075 3989.58 328.16
  3 0.125 4006.1 308.065
  4 0.175 4015.03 301.22
  5 0.225 3974.86 300.996
  6 0.275 4121.36 296.395
  7 0.325 4126.9 299.698
  8 0.375 4250.3 299.094
  9 0.425 4299.24 285.932
  10 0.475 4370.51 260.338
  11 0.525 4390.68 248.877
  12 0.575 4225.05 264.847
  13 0.625 4096.39 284.754
  14 0.675 4062.78 297.801
  15 0.725 3999.22 299.339
  16 0.775 4081.91 295.027
  17 0.825 4024.01 299.568
  18 0.875 4067.13 299.425
  19 0.925 3970.67 307.568
  20 0.975 3935.32 333.035
34000 20 82020.00000000001
  1 0.025 3989.13 350.511
  2 0.075 3965.02 330.423
  3 0.125 3984.23 307.291
  4 0.175 4026.37 301.238
  5 0.225 4006.64 302.371
  6 0.275 4130.59 298.596
  7 0.325 4135.79 300.486
  8 0.375 4255.67 298.532
  9 0.425 4291.55 285.296
  10 0.475 4369.25 261.037
  11 0.525 4389.53 250.517
  12 0.575 4212.62 265.198
  13 0.625 4102.62 284.821
  14 0.675 4071.32 296.861
  15 0.725 3978.51 299.929
  16 0.775 4100.43 295.69
  17 0.825 4037.36 299.492
  18 0.875 4062.48 298.955
  19 0.925 3963.67 307.446
  20 0.975 3947.22 334.352
35000 20 82020.00000000001
  1 0.025 3975.2 350.062
  2 0.075 3966.9 328.158
  3 0.125 4000.84 309.361
  4 0.175 4028.96 299.883
  5 0.225 3992.01 302.428
  6 0.275 4133.23 297.303
  7 0.325 4127.59 301.885
  8 0.375 4253.04 297.109
  9 0.425 4289.08 285.917
  10 0.475 4380.58 259.779
  11 0.525 4396.64 249.125
  12 0.575 4233.86 264.526
  13 0.625 4100.32 283.78
  14 0.675 4058 296.913
  15 0.725 3978.21 298.803
  16 0.775 4096.99 297.455
  17 0.825 4038.99 299.949
  18 0.875 4073.41 299.166
  19 0.925 3962.87 308.348
  20 0.975 3933.28 332.214
36000 20 82020
  1 0.025 3986.99 350.36
  2 0.075 3989.13 331.897
  3 0.125 3991.71 308.986
  4 0.175 4009.22 299.382
  5 0.225 3988 301.942
  6 0.275 4115.66 297.648
  7 0.325 4127.14 300.637
  8 0.375 4263.54 296.846
  9 0.425 4300.42 285.216
  10 0.475 4379.01 260.4
  11 0.525 4398.82 251.63
  12 0.575 4236.11 263.968
  13 0.625 4106.03 283.024
  14 0.675 4063.78 297.275
  15 0.725 3997.2 297.971
  16 0.775 4082.94 296.761
  17 0.825 4027.87 300.605
  18 0.875 4073.13 299.818
  19 0.925 3954.2 309.087
  20 0.975 3929.1 332.349
37000 20 82019.99999999999
  1 0.025 3985.83 350.516
  2 0.075 3986.23 332.578
  3 0.125 3993.62 309.264
  4 0.175 4016.7 299.419
  5 0.225 3982.57 301.538
  6 0.275 4121.13 300.144
  7 0.325 4127.8 298.901
  8 0.375 4264.61 297.144
  9 0.425 4304.68 284.344
  10 0.475 4377.67 260.728
  11 0.525 4403.67 249.191
  12 0.575 4232.96 262.338
  13 0.625 4108.87 281.909
  14 0.675 4074.11 297.634
  15 0.725 3985.09 297.205
  16 0.775 4082.82 297.678
  17 0.825 4040.06 300.554
  18 0.875 4061.26 299.117
  19 0.925 3960.34 309.568
  20 0.975 3909.98 332.988
38000 20 82020.00000000001
  1 0.025 3998.55 350.873
  2 0.075 3983.35 333.155
  3 0.125 3969.07 309.178
  4 0.175 4032.85 299.413
  5 0.225 4001.98 301.151
  6 0.275 4115.49 299.784
  7 0.325 4140.55 299.07
  8 0.375 4273.55 295.08
  9 0.425 4282.4 282.949
  10 0.475 4378.84 261.036
  11 0.525 4402.16 250.789
  12 0.575 4234.64 262.478
  13 0.625 4111.68 283.7
  14 0.675 4064.76 296.855
  15 0.725 3973.37 299.057
  16 0.775 4089.31 296.854
  17 0.825 4033.59 300.233
  18 0.875 4081.86 298.329
  19 0.925 3941.63 309.611
  20 0.975 3910.37 331.559
39000 20 82020
  1 0.025 3992.68 348.522
  2 0.075 3992.55 332.637
  3 0.125 3998.97 310.859
  4 0.175 4028.97 299.506
  5 0.225 3992.81 301.16
  6 0.275 4115.16 299.169
  7 0.325 4135.66 298.413
