# Chunk-averaged data for fix bins and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
21000 20 82020
  11 0.525 4056.38 254.147
  12 0.575 4125.36 258.44
  13 0.625 4133.55 268.375
  14 0.675 4025.52 281.333
  15 0.725 4191.31 289.309
  16 0.775 4024.61 294.742
  17 0.825 4084.82 308.083
  18 0.875 4072.7 315.962
  19 0.925 4053.13 330.452
  20 0.975 4145.32 340.92
31000 20 82020.00000000001
  1 0.025 4084.34 347.722
  2 0.075 4054.63 341.257
  3 0.125 4059.23 331.074
  4 0.175 4070.3 317.099
  5 0.225 4070.84 309.092
  6 0.275 4158.63 297.19
  7 0.325 4115.58 288.095
  8 0.375 4127.65 280.684
  9 0.425 4085.53 271.012
  10 0.475 4243.25 258.935
  11 0.525 4073.34 252.077
  12 0.575 4128.54 258.482
  13 0.625 4150.77 265.973
  14 0.675 4033.83 276.991
  15 0.725 4164.1 288.688
  16 0.775 4039.87 296.827
  17 0.825 4083 308.218
  18 0.875 4074.36 317.739
  19 0.925 4030.22 329.609
  20 0.975 4171.99 343.965
32000 20 82020.00000000001
  1 0.025 4070.82 348.05
  2 0.075 4074.93 340.601
  3 0.125 4068.98 331.381
  4 0.175 4049.13 317.6
  5 0.225 4067.98 307.693
  6 0.275 4159.34 298.567
  7 0.325 4095.55 289.382
  8 0.375 4122.22 280.647
  9 0.425 4069.59 268.054
  10 0.475 4233.08 258.194
  11 0.525 4077.25 252.733
  12 0.575 4129.28 257.018
  13 0.625 4171.98 265.481
  14 0.675 4043.34 278.262
  15 0.725 4183.4 288.222
  16 0.775 4034.54 296.589
  17 0.825 4069.96 309.322
  18 0.875 4094.6 319.255
  19 0.925 4050.52 328.247
  20 0.975 4153.51 342.95
33000 20 82019.99999999999
  1 0.025 4077.3 348.823
  2 0.075 4060.04 341.115
  3 0.125 4059.3 329.793
  4 0.175 4049.84 319.228
  5 0.225 4083.3 305.791
  6 0.275 4167.16 296.607
  7 0.325 4101.58 291.661
  8 0.375 4112.63 278.673
  9 0.425 4090.86 266.478
  10 0.475 4236 258.271
  11 0.525 4075.65 251.33
  12 0.575 4143.21 256.443
  13 0.625 4139.69 266.221
  14 0.675 4063.52 275.83
  15 0.725 4170.02 289.495
  16 0.775 4024.18 297.076
  17 0.825 4091.99 309.456
  18 0.875 4085.14 318.826
  19 0.925 4050.48 330.027
  20 0.975 4138.11 342.204
34000 20 82019.99999999999
  1 0.025 4090.13 348.945
  2 0.075 4066.54 342.159
  3 0.125 4062.85 328.247
  4 0.175 4049.29 318.906
  5 0.225 4056.68 304.069
  6 0.275 4180.53 296.294
  7 0.325 4100.14 290.817
  8 0.375 4106.87 280.768
  9 0.425 4075.49 268.365
  10 0.475 4269.19 258.289
  11 0.525 4061.08 252.026
  12 0.575 4132.95 257.622
  13 0.625 4150.07 266.58
  14 0.675 4053.07 275.332
  15 0.725 4163.77 290.169
  16 0.775 4055.73 299.078
  17 0.825 4059.39 308.442
  18 0.875 4103.04 319.501
  19 0.925 4033.55 331.228
  20 0.975 4149.64 341.776
35000 20 82020
  1 0.025 4087.6 348.552
  2 0.075 4051.73 341.58
  3 0.125 4067.95 327.087
  4 0.175 4048.66 319.28
  5 0.225 4092.31 305.375
  6 0.275 4151.67 298.688
  7 0.325 4120.89 289.181
  8 0.375 4099.11 279.089
  9 0.425 4072.18 270.329
  10 0.475 4242.42 259.469
  11 0.525 4076.96 251.047
  12 0.575 4155.67 257.282
  13 0.625 4137.33 267.604
  14 0.675 4062.48 275.434
  15 0.725 4169.08 290.646
  16 0.775 4032.22 299.223
  17 0.825 4089.94 307.62
  18 0.875 4086.68 317.595
  19 0.925 4035.07 327.921
  20 0.975 4140.05 342.796
36000 20 82020
  1 0.025 4091.61 349.945
  2 0.075 4069.01 342.115
  3 0.125 4086.58 328.002
  4 0.175 4030.34 320.436
  5 0.225 4072.95 306.87
  6 0.275 4153.29 296.848
  7 0.325 4117.54 289.951
  8 0.375 4103.49 279.964
  9 0.425 4087.68 269.599
  10 0.475 4228.85 259.145
  11 0.525 4088.11 251.426
  12 0.575 4117.02 258.414
  13 0.625 4158.95 266.992
  14 0.675 4069.46 273.765
  15 0.725 4127.85 287.262
  16 0.775 4043.77 297.374
  17 0.825 4068.45 310.639
  18 0.875 4107.46 318.632
  19 0.925 4041.01 328.335
  20 0.975 4156.58 342.099
