,pDMA_dp200_poly_smp1,pDMA_dp200_poly_smp2,pDMA_dp200_poly_smp3,pDMA_dp200_poly_mean,pDMA_dp200_poly_std
TotEng,76800.05293333335,75853.753,76588.3243,76414.04341111111,496.6399723447583
Density,1.0932079366666667,1.0925569400000001,1.0958337033333332,1.0938661933333333,0.001734725011371333
Mn,20083.183149216045,19825.605273055226,20063.369466434437,19990.71929623524,143.33571081331857
DPn,202.7,200.1,202.5,201.76666666666665,1.4468356276140466
PDI,1.2792665667191752,1.290966977407427,1.2723878767540446,1.2808738069602157,0.0093932508305934
%mm,0.4812229837604097,0.5115076902158426,0.47711263728017705,0.48994777041880977,0.018784204622175435
herman_x,-0.0007455484109456566,-0.0027031434137608475,-0.0027623724798135135,-0.002070354768173339,0.0011476981021503563
herman_y,-0.0003597218879937369,-0.0019335129513558624,-0.003909439911450625,-0.0020675582502667415,0.0017786513481100642
herman_z,0.0011052702989393917,0.004636656365116715,0.006671812391264128,0.0041379130184400785,0.0028165859494779177
herman_avg,0.0027203829138137074,0.00014299852484931982,0.007895250905758357,0.003586210781473795,0.003947986533239452
shape_aniso,0.32268776000929456,0.2927286599557045,0.35875722696276424,0.3247245489759211,0.03306137167787163
Rg,670.4938396082268,591.6663542768041,586.1158265766276,616.0920068205528,47.19503837726099
ehex_kappa,0.24766998552148975,0.25126374782280236,0.25090866584750265,0.24994746639726495,0.001980330820074495
ehex_kappa_x,0.2446902028499729,0.247361523901784,0.25374231263482283,0.2485980131288599,0.0046510054929821435
ehex_kappa_y,0.24935646336382644,0.24853988940167587,0.24610705791865586,0.2480011368947194,0.0016903696739441255
ehex_kappa_z,0.24896329035066986,0.25788983016494726,0.2528766269890293,0.2532432491682155,0.004474548818671369
lav_kappa,0.28251337075987143,0.2823149357967644,0.287397448114649,0.28407525155709495,0.0028788168722434994
lav_kappa_x,0.2813600709255104,0.2788712534600438,0.2816660870247841,0.2806324704701128,0.001532914048689885
lav_kappa_y,0.28401809563639446,0.2787595141503788,0.28786711008662685,0.28354823995780004,0.004571941513571784
lav_kappa_z,0.2821619457177093,0.2893140397798707,0.2926591472325361,0.288045044243372,0.005362422229222599
