,pDMA_dp300_poly_smp1,pDMA_dp300_poly_smp2,pDMA_dp300_poly_smp3,pDMA_dp300_poly_mean,pDMA_dp300_poly_std
TotEng,113687.85833333334,113953.56833333331,113376.14833333335,113672.52499999998,289.01522007210025
Density,1.0931811066666666,1.0916858966666667,1.0953734466666667,1.0934134833333333,0.0018547251648245177
Mn,29712.632981074024,29772.074029418825,29643.28509133841,29709.33070061042,64.45794315028594
DPn,299.9,300.5,299.2,299.8666666666666,0.6506407098647764
PDI,1.327014630344929,1.2951978561187534,1.3244236187881,1.3155453684172607,0.017669020283403915
%mm,0.5164076585797229,0.5073487878375116,0.48846203050608833,0.5040728256411076,0.014257926859879718
herman_x,0.010738855317836603,-0.004835141375717147,-0.0001238851369542124,0.0019266096017217479,0.007986910526461976
herman_y,-0.016602420245318907,0.006732495078728801,-0.005418323180786129,-0.005096082782458745,0.011670794636649846
herman_z,0.005863564927482323,-0.0018973537030116537,0.005542208317740359,0.003169473180737009,0.0043909416438919855
herman_avg,-0.00023326550698331598,0.0035042643075530516,-0.002205312947567138,0.00035522861766753254,0.002899924500587537
shape_aniso,0.39528629317812575,0.4224645686134574,0.36794776098365833,0.39523287425841386,0.02725844307222748
Rg,936.4475498596688,790.6500814098495,721.4026154157676,816.1667488950953,109.76978726935701
ehex_kappa,0.26115668761536326,0.260130993435096,0.25985784716311233,0.2603818427378572,0.0006847924208274242
ehex_kappa_x,0.27763594773029926,0.24761390214687573,0.2589520590210564,0.2614006362994104,0.015160061123535878
ehex_kappa_y,0.2535317102912553,0.2683487428599751,0.26341904204690963,0.26176649839938,0.007545481357466115
ehex_kappa_z,0.2523024048245353,0.2644303352984371,0.257202440421371,0.2579783935147812,0.006101086116203297
lav_kappa,0.2878810626962684,0.2842426639452748,0.28655689015084324,0.2862268722641288,0.001841513025197355
lav_kappa_x,0.3006685648229582,0.27884155066731525,0.29228319677858433,0.2905977707562859,0.011010682648915988
lav_kappa_y,0.2767011024422227,0.28728625281270875,0.28124699743300363,0.2817447842293117,0.005310103187545826
lav_kappa_z,0.28627352082362423,0.2866001883558004,0.28614047624094174,0.28633806180678884,0.00023655435108627115
