,pDMA_dp100_mono_smp1,pDMA_dp100_mono_smp2,pDMA_dp100_mono_smp3,pDMA_dp100_mono_mean,pDMA_dp100_mono_std
TotEng,37979.42226666667,37804.64673333333,37908.99763333333,37897.68887777777,87.93484933261624
Density,1.0883310966666666,1.0983707833333334,1.0933124233333333,1.0933381011111112,0.005019892588732883
Mn,9908.857040864099,9908.857040864099,9908.857040864099,9908.857040864099,0.0
DPn,100.0,100.0,100.0,100.0,0.0
PDI,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.0
%mm,0.4948979591836736,0.46734693877551026,0.4908163265306123,0.48435374149659866,0.014869042853329538
herman_x,-0.005574993877051497,-0.02042114927535404,0.008546467108399949,-0.005816558681335196,0.014485318943850863
herman_y,-0.0014440340360946872,0.02465160517625243,0.014509065689069175,0.012572212276408973,0.013155194690001634
herman_z,0.007019027913146197,-0.0042304559008983725,-0.02305553279746914,-0.006755653595073772,0.015195468667669434
herman_avg,0.007905612465646293,-0.013825229349213496,-0.0029133227191956343,-0.0029443132009209457,0.01086545405416096
shape_aniso,0.36820305765869943,0.47082743597814103,0.3762274784012056,0.4050859906793487,0.057074959960947594
Rg,368.9510063003824,437.25989934711316,398.35019654364567,401.5203673970471,34.26461301032367
ehex_kappa,0.22578658577751531,0.23244856165386898,0.22752606576192957,0.22858707106443796,0.0034553986504081906
ehex_kappa_x,0.22121369050276615,0.23495162359754376,0.2308058047381908,0.2289903729461669,0.007046598177331015
ehex_kappa_y,0.2264963798605976,0.21783386913897324,0.2223689630977363,0.2222330706991024,0.004332853916135309
ehex_kappa_z,0.22964968696918223,0.24456019222508996,0.2294034294498616,0.2345377695480446,0.008680545946509946
lav_kappa,0.2749635601267516,0.28816305852747476,0.27737890568997553,0.280168508114734,0.0070280225365202745
lav_kappa_x,0.2707271345904562,0.28141170221104245,0.28275249537649494,0.2782971107259979,0.006589979939091892
lav_kappa_y,0.27626877790357346,0.2957892403765874,0.2833464757892668,0.2851348313564759,0.009882346660392054
lav_kappa_z,0.27789476788622514,0.2872882329947944,0.2660377459041648,0.27707358226172807,0.010649016845214597
